ICAO24,Latitude,Longitude,Track,Altitude,Vitesse,Squawk,Radar_Feeder,Type_avion,Registration,Temps_UNIX,Depart,Arrivee,Num_IATA,On_ground,Vertical_Speed,Num_ICAO,Code_ICAO
3C6481,63.8645,-21.5174,307,10350,325,3535,F-BIKF1,A321,D-AIDA,1645968418,FRA,KEF,LH856,0,-2048,DLH8KY,DLH
3C65D4,48.3503,11.7955,286,0,13,1000,F-EDDM1,A20N,D-AINT,1645968408,MLA,MUC,LH1925,1,0,DLH4LX,DLH
3C6570,32.2891,25.5347,151,37000,521,1656,F-LGSA5,A333,D-AIKP,1645968418,FRA,NBO,LH590,0,-64,DLH590,DLH
3C656C,30.7026,6.2272,188,37000,443,2513,F-EST,A333,D-AIKL,1645968421,FRA,LOS,LH568,0,0,DLH568,DLH
3C6569,30.8178,6.7976,178,39000,458,2553,F-EST,A333,D-AIKI,1645968421,FRA,ABV,LH594,0,0,DLH594,DLH
3C6708,57.8045,-9.1318,293,39000,452,0616,F-EGPR1,A359,D-AIXH,1645968419,MUC,DEN,LH480,0,0,DLH480,DLH
3C4B27,64.349,-5.9616,329,34000,447,2150,F-EKVG6,B748,D-ABYG,1645968417,FRA,SFO,LH454,0,0,DLH454,DLH
3C6747,35.9394,28.7676,125,37000,512,5571,F-LGIR3,A320,D-AIZG,1645968417,MUC,TLV,LH680,0,0,DLH680,DLH
3C6565,41.0499,22.361,140,37000,478,5573,F-LWSK5,A333,D-AIKE,1645968418,FRA,RUH,LH636,0,0,DLH636,DLH
3C6488,38.8885,-4.5585,200,34975,461,2550,F-LEBA5,A321,D-AIDH,1645968420,FRA,AGP,LH1148,0,0,DLH99W,DLH
3C66E9,48.221,11.2381,35,3850,264,1000,F-EDMO3,A320,D-AIWI,1645968419,MAD,MUC,LH1801,0,-640,DLH66E,DLH
3C65D6,39.1105,27.8285,129,39050,485,6404,F-LTBO1,A20N,D-AINV,1645968418,MUC,LCA,LH1768,0,0,DLH1768,DLH
3C65D7,48.3194,11.4792,82,4550,192,1000,F-EDMO3,A20N,D-AINW,1645968419,ATH,MUC,LH1753,0,64,DLH6KV,DLH
3C674F,48.5303,12.2378,236,11975,396,2256,F-EDDM2,A320,D-AIZO,1645968419,HEL,MUC,LH2461,0,-1024,DLH9JT,DLH
3C670E,57.3078,-7.4419,297,38000,455,7757,F-XBRO3,A359,D-AIXN,1645968420,MUC,LAX,LH452,0,64,DLH452,DLH
3C65D0,44.5691,8.7194,44,38000,444,1000,F-LIMP1,A20N,D-AINP,1645968419,SVQ,MUC,LH1823,0,64,DLH1823,DLH
3C64EE,45.0254,24.0665,121,35000,478,7712,F-LYBE1,A343,D-AIGN,1645968418,FRA,BOM,LH756,0,0,DLH756,DLH
3C65D8,39.8551,-3.3674,225,37025,432,3775,F-LEZG3,A20N,D-AINX,1645968418,MUC,AGP,LH1832,0,0,DLH77Y,DLH
3C670A,61.0088,-2.0108,329,38000,477,2023,F-EGPA2,A359,D-AIXJ,1645968417,FRA,YVR,LH492,0,-64,DLH492,DLH
3C64A4,49.9235,8.1647,341,5925,237,5520,F-EDFM1,A21N,D-AIED,1645968419,PMI,FRA,LH1155,0,-2688,DLH17V,DLH
3C656F,56.5524,-7.5761,289,34000,409,7764,F-EGPF5,A333,D-AIKO,1645968418,FRA,IAD,LH418,0,0,DLH418,DLH
3C6586,50.2296,8.0194,166,9075,295,0743,F-ETIE1,A319,D-AILF,1645968418,BGO,FRA,LH875,0,-960,DLH875,DLH
3C64A8,34.97,-13.911,44,36000,410,1143,F-LPMA8,A21N,D-AIEH,1645968419,FNC,MUC,LH1791,0,0,DLH97P,DLH
3C6483,41.534,19.6272,135,35000,478,6431,F-LIBN4,A321,D-AIDC,1645968420,FRA,ATH,LH1282,0,-64,DLH1VV,DLH
3C6490,41.2997,2.0863,244,0,76,0611,F-LEBL4,A321,D-AIDP,1645968417,MUC,BCN,LH1810,1,0,DLH33U,DLH
3C66E5,48.4385,7.8926,88,35000,404,1000,F-LSZB3,A320,D-AIWE,1645968420,CDG,MUC,LH2229,0,0,DLH23A,DLH
3C6544,59.6506,10.245,26,18375,410,0244,F-ENTO6,A20N,D-AIJD,1645968419,FRA,OSL,LH862,0,-2624,DLH1HT,DLH
3C65CA,50.8499,7.1813,103,22300,334,1156,F-EDLW1,A20N,D-AINJ,1645968418,DUB,FRA,LH979,0,-1792,DLH9WL,DLH
3C6746,48.405,11.1782,144,5625,259,1000,F-EDMO3,A320,D-AIZF,1645968419,DUS,MUC,LH2017,0,-640,DLH6TW,DLH
3C6750,50.9773,10.5299,232,21850,431,1000,F-ETHF1,A320,D-AIZP,1645968419,BER,FRA,LH189,0,-768,DLH5CV,DLH
3C6482,47.1146,8.0804,14,33975,382,5344,F-LFHS1,A321,D-AIDB,1645968420,BCN,FRA,LH1125,0,0,DLH91A,DLH
3C65C2,46.3828,7.5123,28,38000,415,5353,F-LFLI1,A20N,D-AINB,1645968419,VLC,FRA,LH1161,0,0,DLH56T,DLH
3C4DCD,47.9966,12.7246,302,16600,407,1000,F-EDMS2,CRJ9,D-ACNM,1645968418,BEG,MUC,LH1741,0,-1920,DLH1741,DLH
3C648B,44.5148,-1.3324,28,34000,445,2330,F-LFBO1,A321,D-AIDK,1645968419,SVQ,FRA,LH1141,0,0,DLH55N,DLH
3C6594,45.6877,19.3648,308,36025,470,2265,F-LYBE1,A319,D-AILT,1645968419,SOF,MUC,LH1729,0,64,DLH1729,DLH
3C64F7,54.5258,-0.8415,305,32000,466,2517,F-EGNM7,A343,D-AIGW,1645968418,FRA,MCO,LH464,0,-64,DLH464,DLH
3C66EB,45.6952,0.5758,209,36975,445,2551,F-LEXJ6,A320,D-AIWK,1645968420,FRA,MAD,LH1114,0,64,DLH92K,DLH
3C65C7,50.0357,8.4916,69,0,112,5660,F-EDDF1,A20N,D-AING,1645968420,CPH,FRA,LH827,0,-576,DLH7HW,DLH
3C6744,48.3728,11.3884,177,4600,224,1350,F-EDMO3,A320,D-AIZD,1645968419,HAM,MUC,LH2063,0,-1024,DLH2PR,DLH
3C65C3,43.4455,-4.6216,27,38000,418,0517,F-LELN1,A20N,D-AINC,1645968419,LIS,FRA,LH1167,0,0,DLH28Y,DLH
